ID,NVictimas,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado
2016-0001,1,2016,1,4,avenida,piedra buena av.,8,-58.47533969,-34.68757022,moto,auto
2016-0002,1,2016,1,1,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,auto,autobus
2016-0003,1,2016,1,7,avenida,entre rios av.,1,-58.39040293,-34.63189362,moto,auto
2016-0005,1,2016,1,5,avenida,san juan av.,1,-58.38718297,-34.62246630,moto,autobus
2016-0008,1,2016,1,18,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,objeto fijo
2016-0009,1,2016,1,19,calle,nogoya,11,-58.50095869,-34.60825440,moto,auto
2016-0010,1,2016,1,15,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,moto,auto
2016-0012,1,2016,2,1,avenida,belgrano av.,1,-58.38048577,-34.61303893,moto,de_carga
2016-0013,1,2016,2,11,avenida,entre rios av.,1,-58.39114932,-34.62477387,peaton,auto
2016-0015,1,2016,2,5,avenida,"scalabrini ortiz, raul av.",15,-58.43760020,-34.59912758,peaton,auto
2016-0016,1,2016,2,22,avenida,regimiento de patricios av.,4,-58.36882665,-34.64291993,moto,auto
2016-0017,1,2016,2,16,avenida,"acosta, mariano av.",8,-58.44989671,-34.65970435,peaton,moto
2016-0019,1,2016,2,9,calle,"de la torre, lisandro",9,-58.50990884,-34.65468721,peaton,autobus
2016-0020,1,2016,2,16,calle,suipacha,1,-58.37952223,-34.60653282,peaton,auto
2016-0021,1,2016,2,23,avenida,directorio av.,7,-58.45157703,-34.63063795,auto,auto
2016-0022,1,2016,2,6,avenida,9 de julio av.,1,-58.38144696,-34.61079875,moto,auto
2016-0025,1,2016,2,4,gral paz,"paz, gral. av.",8,-58.46244952,-34.70524971,auto,auto
2016-0026,1,2016,2,7,calle,holmberg,12,-58.49216191,-34.54738649,auto,objeto fijo
2016-0027,1,2016,2,9,avenida,curapaligue av.,7,-58.44497874,-34.63852623,auto,auto
2016-0028,1,2016,3,10,avenida,viamonte,1,-58.38199706,-34.60028648,peaton,de_carga
2016-0029,1,2016,3,17,avenida,cabildo av.,12,-58.47378664,-34.54153077,peaton,autobus
2016-0031,1,2016,3,12,gral paz,"paz, gral. av.",8,-58.47064556,-34.69843756,moto,autobus
2016-0034,1,2016,3,12,avenida,"alcorta, amancio av.",4,-58.40623949,-34.65076549,peaton,autobus
2016-0035,1,2016,3,6,avenida,corrientes av.,3,-58.39228965,-34.60443527,moto,autobus
2016-0036,1,2016,3,0,calle,herrera,4,-58.37813396,-34.63668504,moto,autobus
2016-0037,1,2016,3,11,avenida,lafuente av.,7,-58.46275892,-34.64358293,moto,moto
2016-0038,1,2016,3,8,gral paz,"paz, gral. av.",8,-58.49683458,-34.67892743,peaton,autobus
2016-0039,1,2016,3,1,avenida,"mitre, bartolome",3,-58.40603217,-34.60883960,moto,autobus
2016-0041,2,2016,3,11,avenida,directorio av.,7,-58.46076550,-34.63350444,moto,de_carga
2016-0043,1,2016,3,18,avenida,"dellepiane, luis, tte. gral.",8,-58.47832463,-34.67494416,peaton,de_carga
2016-0044,1,2016,3,19,avenida,"moreno, jose maria av.",7,-58.43213235,-34.63693953,moto,multiple
2016-0047,1,2016,4,5,calle,lima,1,-58.38247061,-34.62571878,peaton,autobus
2016-0048,1,2016,4,17,avenida,corrientes av.,15,-58.44759966,-34.59170240,peaton,autobus
2016-0050,1,2016,4,9,avenida,"gordillo, timoteo",8,-58.47305463,-34.68550712,peaton,autobus
2016-0051,1,2016,4,4,avenida,"alcorta, amancio av.",4,-58.40623949,-34.65076549,moto,de_carga
2016-0053,1,2016,4,9,avenida,triunvirato av.,12,-58.48429180,-34.57558053,peaton,autobus
2016-0054,1,2016,4,21,autopista,autopista dellepiane luis tte. gral.,8,-58.48695354,-34.68795245,moto,moto
2016-0055,1,2016,4,20,avenida,"castilla, ramon, mariscal",14,-58.40021959,-34.57964781,peaton,de_carga
2016-0056,1,2016,4,4,avenida,"campos, luis m. av.",14,-58.42957885,-34.57660058,moto,objeto fijo
2016-0058,1,2016,5,14,calle,lima,1,-58.38247542,-34.62556293,peaton,moto
2016-0059,1,2016,5,16,calle,ciudadela,1,-58.38222219,-34.62728101,peaton,autobus
2016-0064,1,2016,5,18,avenida,"justo, juan b. av.",10,-58.49485242,-34.62953445,peaton,autobus
2016-0065,1,2016,5,14,avenida,gaona av.,6,-58.45227946,-34.61068024,peaton,auto
2016-0067,1,2016,5,17,avenida,"de la torre, lisandro",8,-58.48455411,-34.67512760,moto,autobus
2016-0068,1,2016,5,22,avenida,"figueroa alcorta, pres. av.",2,-58.39056593,-34.58418569,moto,autobus
2016-0069,1,2016,5,3,avenida,entre rios av.,3,-58.39118948,-34.62704273,auto,de_carga
2016-0073,1,2016,6,15,calle,"magariños cervantes, a.",10,-58.49021952,-34.62025108,moto,de_carga
2016-0074,1,2016,6,6,gral paz,"paz, gral. av.",8,-58.49896559,-34.67732118,auto,auto
2016-0075,1,2016,6,23,autopista,autopista dellepiane luis tte. gral.,8,-58.47461076,-34.66874679,peaton,auto
2016-0076,1,2016,6,16,avenida,san martin av.,15,-58.46210891,-34.60356211,peaton,autobus
2016-0077,1,2016,6,21,avenida,"peron, juan domingo, tte. general",1,-58.37027770,-34.60536123,peaton,autobus
2016-0078,1,2016,6,23,avenida,belgrano av.,3,-58.40491455,-34.61463830,moto,moto
2016-0079,1,2016,6,17,avenida,del libertador av.,13,-58.45504154,-34.54864492,auto,auto
2016-0081,1,2016,6,7,avenida,"larralde, crisologo av.",12,-58.48721060,-34.55904606,moto,auto
2016-0082,1,2016,6,18,avenida,la plata av.,4,-58.42273092,-34.64228803,peaton,auto
2016-0083,1,2016,6,20,avenida,"alberdi, juan bautista av.",6,-58.44788671,-34.62539009,peaton,moto
2016-0084,1,2016,6,22,calle,"pellegrini, carlos",1,-58.38110563,-34.60135531,peaton,autobus
2016-0085,1,2016,6,22,avenida,"rabanal, francisco, intendente av.",4,-58.42378834,-34.65734100,moto,emergencias
2016-0086,1,2016,6,16,avenida,olivera av.,10,-58.48727942,-34.63652467,peaton,autobus
2016-0087,1,2016,7,0,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37864583,-34.62907067,moto,objeto fijo
2016-0088,1,2016,7,15,calle,ceretti,12,-58.50151750,-34.56767549,peaton,auto
2016-0089,1,2016,7,6,autopista,"lugones, leopoldo av.",13,-58.43233425,-34.55185825,peaton,auto
2016-0090,1,2016,7,22,avenida,"salguero, jeronimo",5,-58.41971993,-34.61112240,peaton,autobus
2016-0092,1,2016,7,11,gral paz,"paz, gral. av.",13,-58.46743471,-34.53476874,moto,de_carga
2016-0093,1,2016,7,3,avenida,"alberdi, juan bautista av.",6,-58.44362126,-34.62301748,auto,auto
2016-0095,1,2016,7,6,avenida,mercedes,11,-58.51713095,-34.59546519,moto,auto
2016-0096,1,2016,7,7,autopista,autopista dellepiane luis tte. gral.,8,-58.47433193007387,-34.66684950051973,moto,de_carga
2016-0097,1,2016,7,18,calle,solis,1,-58.39038605,-34.61562810,peaton,auto
2016-0098,1,2016,7,16,avenida,san juan av.,3,-58.40042405,-34.62356174,moto,de_carga
2016-0099,1,2016,7,16,gral paz,mosconi general av.,11,-58.52340614,-34.59798754,de_carga,de_carga
2016-0100,1,2016,8,23,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,moto,objeto fijo
2016-0102,1,2016,8,23,avenida,"peron, eva av.",9,-58.50011639,-34.67316502,moto,de_carga
2016-0104,1,2016,8,21,avenida,zinny,9,-58.46635001,-34.65624369,moto,autobus
2016-0105,1,2016,8,0,avenida,"lacroze, federico av.",15,-58.45343236,-34.58435809,peaton,autobus
2016-0106,1,2016,8,21,avenida,"pellegrini, carlos",1,-58.38090932,-34.58927731,peaton,autobus
2016-0107,1,2016,8,8,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37157668,-34.65429986,moto,auto
2016-0109,1,2016,8,5,autopista,autopista perito moreno,9,-58.52280139,-34.63659934,auto,objeto fijo
2016-0111,1,2016,8,9,autopista,lugones,15,-58.47461905,-34.57663634,moto,de_carga
2016-0112,1,2016,8,4,autopista,autopista 25 de mayo,1,-58.38268809,-34.62282019,moto,objeto fijo
2016-0113,1,2016,8,16,avenida,"alberdi, juan bautista av.",9,-58.49603546,-34.64564271,peaton,autobus
2016-0114,1,2016,8,11,calle,"salguero, jeronimo",14,-58.41848605,-34.59394733,bicicleta,de_carga
2016-0116,1,2016,9,20,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,auto
2016-0117,1,2016,9,15,avenida,del libertador av.,14,-58.39936478,-34.58271474,auto,auto
2016-0118,1,2016,9,3,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37936704,-34.62694503,auto,auto
2016-0122,1,2016,9,7,avenida,"peron, eva av.",9,-58.47256391,-34.65194557,bicicleta,autobus
2016-0123,1,2016,9,9,avenida,asamblea av.,7,-58.45130953,-34.64053676,moto,auto
2016-0124,1,2016,9,15,avenida,rivadavia av.,7,-58.46271207,-34.62884871,peaton,autobus
2016-0125,1,2016,9,12,autopista,autopista perito moreno,10,-58.49020869,-34.64243791,moto,moto
2016-0126,2,2016,9,22,calle,irigoyen,10,-58.52572109,-34.62125906,auto,de_carga
2016-0127,1,2016,9,10,avenida,"acosta, mariano av.",8,-58.44094791,-34.66677111,peaton,autobus
2016-0128,1,2016,10,11,avenida,castro,5,-58.41914024,-34.63053890,peaton,autobus
2016-0130,1,2016,10,12,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37910942,-34.62764717,moto,de_carga
2016-0131,1,2016,10,19,calle,mirave,4,-58.39871183,-34.64539318,peaton,auto
2016-0132,1,2016,10,2,avenida,san juan av.,3,-58.41036975,-34.62477021,auto,autobus
2016-0133,1,2016,10,0,avenida,las heras general av.,14,-58.40204698,-34.58342690,moto,auto
2016-0134,1,2016,10,5,avenida,piedra buena av.,8,-58.48935287,-34.67648597,moto,objeto fijo
2016-0137,1,2016,10,0,avenida,san martin av.,11,-58.51537091,-34.59035925,moto,moto
2016-0138,1,2016,10,20,avenida,cabildo av.,13,-58.45909670,-34.55922742,bicicleta,de_carga
2016-0139,1,2016,10,23,avenida,"figueroa alcorta, pres. av.",14,-58.42008769,-34.56539579,moto,moto
2016-0140,1,2016,10,2,avenida,juramento av.,13,-58.45566399,-34.56147293,autobus,autobus
2016-0142,1,2016,11,23,avenida,del libertador av.,1,-58.37533517,-34.59276462,moto,autobus
2016-0144,1,2016,11,12,avenida,"brown, alte. av.",4,-58.35975012,-34.63343907,peaton,autobus
2016-0145,1,2016,11,20,avenida,del libertador av.,13,-58.44523595,-34.55953855,moto,auto
2016-0146,1,2016,11,20,avenida,pichincha av.,4,-58.39626094,-34.63036565,peaton,autobus
2016-0147,1,2016,11,21,avenida,independencia av.,1,-58.38896772,-34.61799615,emergencias,autobus
2016-0148,1,2016,11,22,avenida,garmendia av.,15,-58.46536113,-34.59484504,moto,moto
2016-0150,1,2016,11,18,avenida,"alcorta, amancio av.",4,-58.40879146,-34.65273216,de_carga,de_carga
2016-0152,1,2016,11,21,avenida,"moreno, perito av.",7,-58.46451841,-34.64991946,moto,auto
2016-0153,1,2016,11,15,avenida,araoz,15,-58.42917090,-34.59485488,peaton,moto
2016-0154,1,2016,11,14,gral paz,"paz, gral. av.",8,-58.49007772,-34.68251141,moto,moto
2016-0155,1,2016,11,16,calle,madero,10,-58.52756365,-34.62772274,peaton,auto
2016-0156,1,2016,11,19,avenida,independencia av.,3,-58.40638983,-34.61943202,moto,autobus
2016-0157,1,2016,12,6,avenida,"justo, juan b. av.",11,-58.47576807,-34.61740997,moto,moto
2016-0160,1,2016,12,5,autopista,autopista perito moreno,9,-58.51927194,-34.63635787,de_carga,objeto fijo
2016-0161,1,2016,12,7,avenida,santa fe av.,14,-58.42525456,-34.57866344,peaton,autobus
2016-0162,1,2016,12,5,avenida,"lacroze, federico av.",15,-58.45396573,-34.58518167,peaton,auto
2016-0163,1,2016,12,7,gral paz,"paz, gral. av.",11,-58.52340614,-34.59798754,moto,auto
2016-0164,1,2016,12,6,avenida,la plata av.,4,-58.42323628,-34.64119105,auto,auto
2016-0165,1,2016,12,8,avenida,"garcia, martin av.",4,-58.36926144,-34.62841919,bicicleta,autobus
2016-0168,1,2016,12,10,avenida,la plata av.,4,-58.42323628,-34.64119105,moto,auto
2016-0169,1,2016,12,15,avenida,nuñez,12,-58.47935434,-34.55676497,moto,autobus
2016-0170,1,2016,12,17,gral paz,"paz, gral. av.",12,-58.50598256,-34.56379980,moto,auto
2016-0171,1,2016,12,19,autopista,"huergo, ing. av.",1,-58.36607137,-34.62150748,moto,moto
2016-0172,1,2016,12,8,avenida,"garay, juan de av.",5,-58.41918902,-34.63174259,moto,de_carga
2016-0173,1,2016,12,19,avenida,directorio av.,7,-58.46749188,-34.63551751,moto,de_carga
2016-0175,1,2016,12,8,calle,"falcon, ramon l.,cnel.",7,-58.46064174,-34.62960517,peaton,bicicleta
2016-0176,1,2016,12,1,avenida,belgrano av.,1,-58.36956186,-34.61232875,moto,autobus
2016-0177,1,2016,12,4,calle,arenales,14,-58.40966671,-34.58788235,peaton,auto
2016-0178,1,2016,12,16,calle,republica bolivariana de venezuela,3,-58.40288226,-34.61544091,peaton,multiple
2017-0001,1,2017,1,1,avenida,"justo, juan b. av.",11,-58.46594230,-34.61028571,moto,de_carga
2017-0003,1,2017,1,3,avenida,olavarria,4,-58.38957669,-34.64410277,de_carga,de_carga
2017-0007,1,2017,1,17,calle,lima,1,-58.38161660,-34.61529543,peaton,multiple
2017-0008,1,2017,1,0,calle,"cabrera, jose a.",14,-58.43917004,-34.58494351,moto,autobus
2017-0009,1,2017,1,13,autopista,autopista 25 de mayo,5,-58.41595919,-34.62743346,moto,de_carga
2017-0010,1,2017,1,16,avenida,directorio av.,6,-58.43564880,-34.62828656,moto,auto
2017-0011,1,2017,1,2,gral paz,"paz, gral. av.",12,-58.50073810,-34.54979510,moto,objeto fijo
2017-0012,1,2017,1,14,calle,traful,4,-58.40969005,-34.65055290,moto,de_carga
2017-0013,1,2017,1,7,avenida,"iriarte, gral. av.",4,-58.38972622,-34.65098981,peaton,de_carga
2017-0014,1,2017,1,8,avenida,donado,12,-58.49185972,-34.55046754,moto,multiple
2017-0015,1,2017,2,15,avenida,cordoba av.,2,-58.39293417,-34.59963642,peaton,auto
2017-0016,1,2017,2,5,autopista,autopista 25 de mayo,1,-58.38099494,-34.62288231,moto,de_carga
2017-0017,1,2017,2,8,avenida,"justo, juan b. av.",14,-58.42901200,-34.58095431,moto,auto
2017-0018,1,2017,2,7,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,moto,auto
2017-0021,1,2017,2,5,calle,sarmiento,1,-58.38362373,-34.60509972,moto,autobus
2017-0024,1,2017,2,20,avenida,rivadavia av.,7,-58.46589308,-34.62955795,peaton,autobus
2017-0026,2,2017,2,5,avenida,"moreno, perito av.",4,-58.41842777,-34.64979057,auto,objeto fijo
2017-0027,1,2017,2,21,avenida,caseros av.,1,-58.38332245,-34.63193250,peaton,auto
2017-0028,1,2017,2,9,avenida,gaona av.,6,-58.45475488,-34.61196327,peaton,auto
2017-0030,1,2017,3,8,avenida,mozart,9,-58.47010988,-34.65872088,auto,autobus
2017-0031,1,2017,3,1,calle,24 de noviembre,3,-58.40997560,-34.62873635,auto,objeto fijo
2017-0032,1,2017,3,5,gral paz,"paz, gral. av.",8,-58.48892175,-34.68359163,auto,auto
2017-0033,1,2017,3,7,gral paz,"paz, gral. av.",11,-58.52466448,-34.60325478,auto,auto
2017-0034,1,2017,3,7,calle,godoy cruz,14,-58.42554218,-34.57929036,peaton,auto
2017-0035,3,2017,3,5,avenida,"achaval rodriguez, t., dr. av.",1,-58.35881506,-34.61113641,auto,objeto fijo
2017-0036,2,2017,3,18,gral paz,"paz, gral. av.",12,-58.51452347,-34.58159762,moto,autobus
2017-0037,1,2017,3,3,avenida,independencia av.,1,-58.38896772,-34.61799615,moto,de_carga
2017-0038,1,2017,4,19,avenida,castañares av.,7,-58.44516857,-34.64363363,moto,auto
2017-0040,1,2017,4,9,avenida,"guiraldes, int.",13,-58.43834197,-34.54560369,auto,multiple
2017-0041,1,2017,4,23,calle,"fernandez moreno, baldomero",7,-58.45485084,-34.63531854,moto,auto
2017-0045,1,2017,4,6,calle,nogoya,10,-58.52449285,-34.62454175,moto,objeto fijo
2017-0047,1,2017,4,6,avenida,argentina av.,8,-58.46713742,-34.67198790,moto,auto
2017-0049,1,2017,4,18,avenida,"fernandez de la cruz, f., gral. av.",8,-58.43850413,-34.65554754,peaton,autobus
2017-0052,1,2017,5,3,gral paz,"paz, gral. av.",8,-58.49413799,-34.68095739,peaton,de_carga
2017-0053,1,2017,5,20,calle,vieytes,4,-58.37547846,-34.65326075,moto,de_carga
2017-0054,1,2017,5,21,avenida,de los constituyentes av.,15,-58.48680218,-34.58689719,moto,auto
2017-0055,1,2017,5,8,avenida,de los constituyentes av.,12,-58.49563989,-34.57962262,auto,auto
2017-0058,1,2017,5,23,avenida,cordoba av.,1,-58.38403232,-34.59915940,peaton,moto
2017-0059,1,2017,5,9,calle,brasil,1,-58.38223382,-34.62693865,peaton,autobus
2017-0060,1,2017,5,7,avenida,escalada av.,8,-58.45966521,-34.67323292,moto,objeto fijo
2017-0061,1,2017,5,13,avenida,paraguay,2,-58.39303911,-34.59871111,peaton,moto
2017-0062,1,2017,5,16,avenida,"justo, juan b. av.",10,-58.51262106,-34.63395999,moto,de_carga
2017-0063,1,2017,5,10,avenida,chile,1,-58.38118367,-34.61646839,peaton,autobus
2017-0064,1,2017,5,5,calle,maipu,1,-58.37653284,-34.60582475,de_carga,auto
2017-0065,1,2017,5,16,avenida,suarez av.,4,-58.37709334,-34.64035082,bicicleta,de_carga
2017-0066,1,2017,5,18,avenida,san martin av.,15,-58.46002142,-34.60409469,peaton,autobus
2017-0067,1,2017,5,2,avenida,directorio av.,6,-58.43381970,-34.62801894,moto,de_carga
2017-0068,1,2017,5,19,avenida,"rabanal, francisco, intendente av.",8,-58.43580656,-34.66437532,moto,objeto fijo
2017-0070,1,2017,5,13,calle,nueva york,11,-58.50791763,-34.59804273,peaton,auto
2017-0072,1,2017,6,23,avenida,de los constituyentes av.,12,-58.49175088,-34.58226957,auto,auto
2017-0073,1,2017,6,9,avenida,corrientes av.,3,-58.40781467,-34.60425669,moto,auto
2017-0075,1,2017,6,22,avenida,de mayo av.,1,-58.38154200,-34.60906385,peaton,moto
2017-0076,1,2017,6,14,avenida,"castillo, ramon s., pres. av.",2,-58.38526125,-34.57805810,peaton,de_carga
2017-0077,1,2017,6,23,calle,fray justo santamaria de oro,14,-58.42934104,-34.58451712,moto,de_carga
2017-0079,1,2017,6,16,calle,mexico,3,-58.40657493,-34.61781124,moto,de_carga
2017-0080,1,2017,6,10,avenida,"alberdi, juan bautista av.",9,-58.49525314,-34.64487785,peaton,de_carga
2017-0082,1,2017,6,22,avenida,entre rios av.,4,-58.39092851,-34.62932696,peaton,auto
2017-0083,1,2017,7,0,avenida,"alberdi, juan bautista av.",9,-58.49603546,-34.64564271,moto,de_carga
2017-0084,1,2017,7,12,avenida,del libertador av.,2,-58.38502878,-34.58703485,peaton,autobus
2017-0085,1,2017,7,14,avenida,tacuari,4,-58.37261143,-34.63150425,peaton,autobus
2017-0086,1,2017,7,7,avenida,rivadavia av.,9,-58.51876802,-34.63905965,peaton,moto
2017-0087,1,2017,7,10,calle,24 de noviembre,3,-58.41095567,-34.61516101,peaton,auto
2017-0088,1,2017,7,22,avenida,paseo colon av.,1,-58.36797542,-34.62519403,peaton,autobus
2017-0090,1,2017,7,5,gral paz,chivilcoy av.,11,-58.51925642,-34.59171721,peaton,auto
2017-0092,1,2017,7,22,autopista,autopista 25 de mayo,1,-58.38268809,-34.62282019,peaton,auto
2017-0093,1,2017,7,16,autopista,"lugones, leopoldo av.",13,-58.43633522,-34.54966288,peaton,auto
2017-0094,1,2017,7,8,calle,"hugo, victor",10,-58.52640838,-34.61765855,bicicleta,de_carga
2017-0095,1,2017,8,8,avenida,cordoba av.,14,-58.41894306,-34.59778875,moto,auto
2017-0096,1,2017,8,19,avenida,cabildo av.,13,-58.46756026,-34.54972741,peaton,autobus
2017-0098,1,2017,8,12,calle,"bonifacio, jose",7,-58.45715752,-34.63132912,peaton,auto
2017-0099,1,2017,8,19,avenida,"figueroa alcorta, pres. av.",14,-58.42406784,-34.56213916,bicicleta,auto
2017-0100,1,2017,8,7,calle,republica bolivariana de venezuela,3,-58.39674470,-34.61512051,moto,objeto fijo
2017-0101,1,2017,8,10,avenida,"lacroze, federico av.",13,-58.44537508,-34.57084818,peaton,multiple
2017-0102,1,2017,8,1,avenida,"iriarte, gral. av.",4,-58.40056767,-34.65107080,peaton,de_carga
2017-0104,1,2017,8,9,avenida,9 de julio av.,1,-58.38109568,-34.61853244,peaton,de_carga
2017-0106,1,2017,8,19,calle,fray justo santamaria de oro,14,-58.42533612,-34.58035258,peaton,autobus
2017-0107,1,2017,9,11,avenida,del libertador av.,13,-58.46062311,-34.54395182,moto,de_carga
2017-0108,2,2017,9,4,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,objeto fijo,auto
2017-0109,1,2017,9,21,avenida,directorio av.,7,-58.47130269,-34.63665402,moto,auto
2017-0110,1,2017,9,14,avenida,lavalle,1,-58.37048800,-34.60189492,peaton,autobus
2017-0111,1,2017,9,18,calle,uspallata,4,-58.42023854,-34.64234110,peaton,de_carga
2017-0112,2,2017,9,9,autopista,autopista 25 de mayo,7,-58.45807401,-34.63997430,auto,objeto fijo
2017-0113,1,2017,9,6,avenida,santa fe av.,1,-58.37697717,-34.59573848,peaton,autobus
2017-0114,1,2017,9,2,avenida,alvear av.,2,-58.39100580,-34.58498660,auto,objeto fijo
2017-0115,1,2017,9,18,avenida,pavon av.,5,-58.42182126,-34.63089661,moto,bicicleta
2017-0116,1,2017,9,22,gral paz,"paz, gral. av.",12,-58.51389422,-34.58075791,moto,objeto fijo
2017-0118,1,2017,9,7,avenida,vieytes,4,-58.37585415,-34.65232158,moto,auto
2017-0120,1,2017,10,15,autopista,autopista dellepiane luis tte. gral.,9,-58.47297505,-34.66245085,moto,de_carga
2017-0123,1,2017,10,1,avenida,albariño,8,-58.46855503,-34.67216349,peaton,auto
