ID,NVictimas,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado
2019-0056,1,2019,6,17,avenida,boyaca av.,7,-58.45877601,-34.62330939,peaton,auto
2019-0057,1,2019,7,19,calle,artilleros,13,-58.44196498,-34.55760517,peaton,auto
2019-0058,1,2019,7,9,autopista,autopista perito moreno,10,-58.50622631,-34.63627822,moto,autobus
2019-0059,1,2019,7,22,calle,15 de noviembre de 1889,1,-58.38410880,-34.63099197,moto,autobus
2019-0060,1,2019,7,11,avenida,"acosta, mariano av.",10,-58.48100602,-34.63504312,peaton,auto
2019-0061,1,2019,7,18,calle,11 de septiembre de 1888,13,-58.45200171,-34.55781320,peaton,autobus
2019-0062,1,2019,8,23,avenida,"pino, virrey del",13,-58.44462132,-34.56201105,peaton,autobus
2019-0063,1,2019,8,1,avenida,forest av.,15,-58.45220688,-34.58711712,moto,autobus
2019-0064,1,2019,8,3,avenida,boyaca av.,7,-58.45962210,-34.62245140,moto,auto
2019-0065,1,2019,8,16,calle,barco centenera del,4,-58.41970850,-34.65414867,peaton,autobus
2019-0066,1,2019,8,21,avenida,riestra av.,7,-58.44187596,-34.64938031,peaton,auto
2019-0067,1,2019,8,15,calle,"castro, emilio av.",10,-58.49101637,-34.64276621,moto,de_carga
2019-0068,1,2019,8,17,avenida,27 de febrero av.,8,-58.42493829,-34.66256502,moto,moto
2019-0069,1,2019,8,5,avenida,"garay, juan de av.",4,-58.40489318,-34.62930162,moto,auto
2019-0070,1,2019,8,12,avenida,"scalabrini ortiz, raul av.",14,-58.42686680,-34.59217875,moto,bicicleta
2019-0071,1,2019,8,11,avenida,primera junta,9,-58.47961100,-34.65620398,peaton,de_carga
2019-0072,1,2019,8,6,avenida,"alberdi, juan bautista av.",10,-58.47439934,-34.63524207,auto,auto
2019-0073,1,2019,8,1,avenida,alvarez thomas av.,15,-58.46711912,-34.57926018,auto,objeto fijo
2019-0074,1,2019,8,9,autopista,"lugones, leopoldo av.",13,-58.46514781,-34.53465378,moto,de_carga
2019-0075,1,2019,8,23,calle,san antonio,4,-58.37571078,-34.65584079,moto,autobus
2019-0076,1,2019,9,18,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37157668,-34.65429986,moto,de_carga
2019-0077,1,2019,9,3,avenida,"figueroa alcorta, pres. av.",14,-58.39811256,-34.58070186,peaton,auto
2019-0078,1,2019,9,8,avenida,"einstein, alberto",4,-58.41125934,-34.65417740,peaton,de_carga
2019-0079,1,2019,9,5,calle,agrelo,5,-58.41822901,-34.61866836,moto,autobus
2019-0080,1,2019,9,18,gral paz,cabildo av.,13,-58.47617802,-34.53825652,peaton,moto
2019-0081,1,2019,9,16,avenida,elcano av.,15,-58.46141281,-34.58623761,peaton,autobus
2019-0082,1,2019,9,7,avenida,"rabanal, francisco, intendente av.",8,-58.42985146,-34.66119740,bicicleta,de_carga
2019-0083,1,2019,9,8,calle,monte,9,-58.48457413,-34.65839090,auto,auto
2019-0084,1,2019,9,11,calle,tandil,7,-58.46572884,-34.63628186,bicicleta,de_carga
2019-0085,1,2019,10,22,calle,cardoso,10,-58.49261744,-34.63419130,bicicleta,tren
2019-0086,1,2019,10,14,avenida,corrientes av.,15,-58.45283186,-34.58841560,moto,autobus
2019-0087,1,2019,10,21,avenida,alvarez thomas av.,12,-58.47973681,-34.57418656,moto,moto
2019-0088,1,2019,10,20,avenida,"alcorta, amancio av.",4,-58.40623949,-34.65076549,peaton,autobus
2019-0089,1,2019,10,15,avenida,"brown, alte. av.",4,-58.36244648,-34.63107887,peaton,de_carga
2019-0090,1,2019,10,18,avenida,"alberdi, juan bautista av.",9,-58.49962423,-34.64868027,peaton,moto
2019-0091,1,2019,11,20,avenida,"justo, juan b. av.",15,-58.44551437,-34.59559816,peaton,autobus
2019-0092,1,2019,11,10,calle,"brin, ministro",4,-58.35608181,-34.63420319,peaton,autobus
2019-0093,1,2019,11,11,avenida,niza,11,-58.46483679,-34.60907662,bicicleta,emergencias
2019-0094,1,2019,11,14,calle,camargo,15,-58.44368628,-34.59724326,moto,emergencias
2019-0095,1,2019,11,15,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37864583,-34.62907067,moto,de_carga
2019-0096,1,2019,11,19,avenida,caseros av.,1,-58.37560352,-34.62726382,peaton,autobus
2019-0097,1,2019,11,8,autopista,autopista perito moreno,9,-58.47721439,-34.64815069,moto,multiple
2019-0098,1,2019,11,14,avenida,guzman,15,-58.45134029,-34.58984288,autobus,autobus
2019-0100,1,2019,12,17,avenida,de los constituyentes av.,12,-58.49040794,-34.58368803,moto,auto
2019-0101,1,2019,12,4,avenida,"moreno, perito av.",4,-58.42102679,-34.64991178,moto,moto
2019-0102,1,2019,12,14,calle,ibarrola,9,-58.52219407,-34.64143926,moto,auto
2019-0104,1,2019,12,4,avenida,rivadavia av.,10,-58.47460416,-34.63206174,moto,auto
2019-0105,1,2019,5,11,avenida,santo tome,10,-58.50512382,-34.61520391,peaton,auto
2020-0001,1,2020,1,10,calle,uriarte,15,-58.43910409,-34.59213355,peaton,auto
2020-0002,1,2020,1,20,avenida,saraza,7,-58.45019436,-34.64646409,moto,objeto fijo
2020-0003,1,2020,1,6,avenida,rivadavia av.,3,-58.39337644,-34.60927582,peaton,auto
2020-0004,1,2020,1,21,avenida,rodriguez peña,1,-58.39055614,-34.60919284,peaton,autobus
2020-0005,1,2020,1,6,avenida,24 de noviembre,3,-58.41036975,-34.62477021,moto,autobus
2020-0006,1,2020,1,12,avenida,lafuente av.,8,-58.44925765,-34.65412546,moto,de_carga
2020-0007,1,2020,1,0,calle,chile,1,-58.38156850,-34.61648696,peaton,moto
2020-0008,1,2020,1,7,avenida,cordoba av.,2,-58.40662899,-34.59804521,moto,de_carga
2020-0009,1,2020,2,14,calle,"peron, juan domingo, tte. general",5,-58.41985649,-34.60600850,peaton,auto
2020-0010,1,2020,2,5,avenida,9 de julio av.,1,-58.38099833,-34.62214953,moto,objeto fijo
2020-0011,1,2020,2,11,calle,colombres,5,-58.41803309,-34.61823178,moto,de_carga
2020-0012,1,2020,2,21,calle,mexico,3,-58.40604003,-34.61783553,peaton,moto
2020-0013,1,2020,2,12,avenida,combatientes de malvinas av.,15,-58.47549929,-34.57994061,peaton,moto
2020-0014,1,2020,2,2,calle,bermudez,11,-58.51398484,-34.61600366,moto,autobus
2020-0015,1,2020,2,14,avenida,brasil av.,1,-58.36797542,-34.62519403,moto,autobus
2020-0016,1,2020,2,13,avenida,"alem, leandro n. av.",1,-58.37133616,-34.59879316,peaton,autobus
2020-0017,1,2020,3,23,avenida,belgrano av.,3,-58.39613805,-34.61413568,peaton,auto
2020-0018,1,2020,3,14,avenida,"udaondo, guillermo av.",13,-58.44903073,-34.54200276,moto,objeto fijo
2020-0019,1,2020,3,21,calle,constitucion,5,-58.41972364,-34.62846670,peaton,auto
2020-0020,1,2020,3,17,avenida,pueyrredon av.,3,-58.40571596,-34.60557123,peaton,moto
2020-0021,1,2020,3,16,calle,"bravo, mario",2,-58.41451590,-34.59488319,peaton,auto
2020-0022,1,2020,4,6,autopista,autopista dellepiane luis tte. gral.,9,-58.47297505,-34.66245085,auto,de_carga
2020-0023,1,2020,4,18,avenida,"araoz de lamadrid, gregorio, gral.",4,-58.35791192,-34.63695178,auto,de_carga
2020-0024,1,2020,4,7,calle,murguiondo,9,-58.50801713,-34.65177305,auto,auto
2020-0025,1,2020,5,5,avenida,rivadavia av.,3,-58.40258477,-34.60975108,peaton,auto
2020-0027,1,2020,5,8,avenida,"dellepiane, luis, tte. gral.",8,-58.48267426,-34.68454456,peaton,de_carga
2020-0028,1,2020,5,10,avenida,"scalabrini ortiz, raul av.",15,-58.44248936,-34.60221948,peaton,autobus
2020-0029,1,2020,6,14,gral paz,"paz, gral. av.",9,-58.52909134,-34.63886726,peaton,autobus
2020-0030,1,2020,6,15,avenida,san martin av.,6,-58.45158942,-34.60646580,moto,multiple
2020-0031,1,2020,6,8,avenida,"garzon, eugenio, gral. av.",9,-58.49344309,-34.65788529,moto,de_carga
2020-0032,1,2020,7,23,avenida,corrientes av.,15,-58.44259166,-34.59635137,moto,auto
2020-0033,1,2020,7,6,gral paz,"paz, gral. av.",13,-58.46743471,-34.53476874,auto,objeto fijo
2020-0034,1,2020,8,3,calle,"mitre, bartolome",3,-58.41178158,-34.60922259,peaton,auto
2020-0035,1,2020,8,5,autopista,autopista 25 de mayo,7,-58.45068621,-34.63638927,moto,autobus
2020-0036,1,2020,8,18,avenida,"scalabrini ortiz, raul av.",14,-58.42016954,-34.58778790,peaton,moto
2020-0037,1,2020,8,4,avenida,"fernandez de la cruz, f., gral. av.",8,-58.43850413,-34.65554754,peaton,auto
2020-0038,2,2020,8,4,avenida,las heras general av.,14,-58.40617526,-34.58345898,auto,auto
2020-0040,1,2020,9,3,avenida,"castillo, ramon s., pres. av.",2,-58.38526125,-34.57805810,auto,objeto fijo
2020-0041,1,2020,9,1,avenida,curapaligue av.,7,-58.44750470,-34.63491705,moto,autobus
2020-0042,1,2020,9,17,avenida,"diaz, ana",8,-58.46745752,-34.68192648,peaton,autobus
2020-0043,1,2020,9,17,avenida,"alem, leandro n. av.",1,-58.37202621,-34.59717942,peaton,autobus
2020-0044,1,2020,10,0,avenida,la plata av.,6,-58.42779702,-34.62207347,auto,auto
2020-0045,1,2020,10,3,gral paz,"paz, gral. av.",8,-58.46244952,-34.70524971,auto,de_carga
2020-0046,1,2020,10,21,avenida,nazca av.,11,-58.48440160,-34.60776782,moto,moto
2020-0047,1,2020,10,14,autopista,autopista presidente héctor j. cámpora,9,-58.46668375,-34.65174801,peaton,de_carga
2020-0048,1,2020,10,20,avenida,dorrego av.,15,-58.44958780,-34.59322448,moto,objeto fijo
2020-0049,1,2020,10,20,avenida,del libertador av.,1,-58.37533517,-34.59276462,peaton,auto
2020-0050,1,2020,11,22,avenida,santa fe av.,14,-58.42525456,-34.57866344,peaton,moto
2020-0051,1,2020,11,0,avenida,avellaneda av.,10,-58.48493828,-34.62981124,moto,auto
2020-0052,1,2020,11,6,avenida,tucuman,3,-58.40480504,-34.60183884,bicicleta,de_carga
2020-0053,1,2020,11,3,avenida,"alcorta, amancio av.",4,-58.41125934,-34.65417740,auto,auto
2020-0054,1,2020,11,9,calle,inclan,4,-58.39956546,-34.62977080,bicicleta,auto
2020-0055,1,2020,11,12,avenida,olazabal av.,12,-58.49005682,-34.57868970,peaton,de_carga
2020-0056,1,2020,11,13,gral paz,"paz, gral. av.",8,-58.47064556,-34.69843756,moto,de_carga
2020-0057,1,2020,11,7,avenida,nazca av.,11,-58.47501560,-34.61945902,peaton,auto
2020-0058,1,2020,11,16,avenida,olivera av.,10,-58.48727942,-34.63652467,peaton,auto
2020-0059,1,2020,12,6,calle,brasil,1,-58.37951690,-34.62794241,peaton,autobus
2020-0060,1,2020,12,20,avenida,homero,9,-58.47750832,-34.65672199,peaton,moto
2020-0061,1,2020,12,14,autopista,"cantilo, int.",13,-58.44927253,-34.54048625,moto,de_carga
2020-0062,1,2020,12,17,calle,moreno,3,-58.39246272,-34.61253541,bicicleta,autobus
2020-0063,2,2020,12,7,calle,nueva york,11,-58.52783814,-34.61047001,peaton,moto
2020-0065,1,2020,12,16,gral paz,"paz, gral. av.",12,-58.49332664,-34.54836855,moto,auto
2020-0066,1,2020,12,4,autopista,autopista perito moreno,10,-58.50178784,-34.63593897,moto,objeto fijo
2020-0067,1,2020,12,22,avenida,saenz av.,4,-58.41657793,-34.65476216,peaton,autobus
2020-0068,1,2020,12,20,avenida,del libertador av.,2,-58.39731474,-34.58307887,moto,auto
2020-0069,1,2020,12,5,avenida,independencia av.,1,-58.38746381,-34.61790839,moto,autobus
2020-0070,1,2020,12,15,avenida,callao av.,2,-58.39189441,-34.59176378,peaton,autobus
2020-0071,1,2020,12,23,avenida,san pedrito av.,7,-58.46749188,-34.63551751,peaton,auto
2020-0072,1,2020,12,3,avenida,jujuy av.,3,-58.40280471,-34.62113271,bicicleta,auto
2020-0073,1,2020,12,7,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,objeto fijo
2020-0074,1,2020,12,21,avenida,bogota,7,-58.47110424,-34.62742408,auto,auto
2020-0075,1,2020,12,14,avenida,corrientes av.,1,-58.38220928,-34.60373898,peaton,autobus
2020-0076,1,2020,12,12,avenida,alvarez jonte av.,10,-58.49794468,-34.61565025,auto,autobus
2020-0077,2,2020,12,6,avenida,san martin av.,15,-58.47220945,-34.60111373,moto,auto
2020-0078,1,2020,12,5,calle,barco centenera del,7,-58.43706741,-34.63217813,bicicleta,autobus
2020-0079,1,2020,12,4,gral paz,"paz, gral. av.",12,-58.49332664,-34.54836855,moto,objeto fijo
2021-0001,1,2021,1,18,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37960727,-34.62622851,moto,auto
2021-0002,1,2021,1,10,avenida,"castro, emilio av.",9,-58.51061062,-34.64972472,moto,de_carga
2021-0003,1,2021,1,7,autopista,autopista 25 de mayo,7,-58.43052224,-34.62941648,moto,objeto fijo
2021-0004,1,2021,1,9,avenida,caseros av.,5,-58.41455544,-34.63866836,peaton,de_carga
2021-0005,1,2021,1,21,avenida,"peron, eva av.",9,-58.46774439,-34.64730145,peaton,auto
2021-0006,1,2021,1,21,autopista,autopista arturo illia,14,-58.40786274,-34.56726817,moto,de_carga
2021-0007,1,2021,1,10,avenida,de los constituyentes av.,15,-58.48744301,-34.58622275,moto,moto
2021-0008,1,2021,1,23,avenida,saenz av.,4,-58.41657793,-34.65476216,peaton,autobus
2021-0009,1,2021,1,5,avenida,paysandu,6,-58.45351111,-34.61134937,moto,objeto fijo
2021-0010,1,2021,1,8,gral paz,"paz, gral. av.",12,-58.50073810,-34.54979510,moto,auto
2021-0011,1,2021,1,1,avenida,santa fe av.,2,-58.39144148,-34.59564871,peaton,auto
2021-0012,1,2021,1,20,autopista,"dellepiane, luis, tte. gral.",8,-58.48191128,-34.68385968,peaton,auto
2021-0013,1,2021,1,6,avenida,"falcon, ramon l.,cnel.",10,-58.48727942,-34.63652467,moto,objeto fijo
2021-0014,1,2021,2,0,avenida,san martin av.,15,-58.48328708,-34.59779521,peaton,auto
2021-0015,1,2021,2,3,avenida,san martin av.,15,-58.49018543,-34.59724990,moto,objeto fijo
2021-0016,1,2021,2,5,avenida,"fernandez de la cruz, f., gral. av.",8,-58.47230127,-34.68482689,auto,objeto fijo
2021-0017,1,2021,2,4,avenida,salta,1,-58.38262614,-34.63168269,moto,autobus
2021-0018,1,2021,2,19,calle,"jaures, jean",3,-58.41047268,-34.60793518,peaton,auto
2021-0019,1,2021,2,1,avenida,triunvirato av.,12,-58.49659234,-34.56353635,moto,objeto fijo
2021-0020,1,2021,2,15,calle,potosi,5,-58.42462955,-34.60727189,peaton,de_carga
2021-0021,1,2021,2,5,calle,"yrigoyen, hipolito",3,-58.41168345,-34.61185625,moto,objeto fijo
2021-0024,1,2021,3,16,avenida,"peron, eva av.",9,-58.49573651,-34.67006054,bicicleta,de_carga
2021-0025,1,2021,3,3,gral paz,"paz, gral. av.",8,-58.48695354,-34.68795245,moto,emergencias
2021-0026,1,2021,3,2,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37562539,-34.64449357,moto,objeto fijo
2021-0027,1,2021,3,15,gral paz,"paz, gral. av.",12,-58.49491054,-34.54795581,moto,de_carga
2021-0028,1,2021,3,17,avenida,corea av.,7,-58.44147621,-34.64357704,peaton,autobus
2021-0029,1,2021,3,18,avenida,"falcon, ramon l.,cnel.",7,-58.46899119,-34.63215432,auto,auto
2021-0030,1,2021,4,18,calle,finochietto enrique dr.,4,-58.38685612,-34.63455776,peaton,autobus
2021-0031,1,2021,4,10,avenida,9 de julio av.,1,-58.38113667,-34.61765323,peaton,de_carga
2021-0032,1,2021,4,19,autopista,"cantilo, int.",13,-58.44112678,-34.54538956,peaton,moto
2021-0033,1,2021,4,17,autopista,autopista 25 de mayo,5,-58.41595919,-34.62743346,auto,objeto fijo
2021-0034,1,2021,4,14,avenida,"alcorta, amancio av.",4,-58.40184094,-34.64546845,moto,de_carga
2021-0035,1,2021,5,9,avenida,"janer, ana maria",8,-58.44642231,-34.65679806,moto,de_carga
2021-0036,1,2021,5,6,gral paz,"paz, gral. av.",11,-58.52340614,-34.59798754,moto,objeto fijo
2021-0037,1,2021,5,7,avenida,monroe,13,-58.46649069,-34.56219075,peaton,autobus
2021-0038,1,2021,5,11,avenida,"justo, juan b. av.",14,-58.42653328,-34.57816791,moto,de_carga
2021-0039,1,2021,5,12,avenida,oliden,9,-58.50407099,-34.65303372,bicicleta,auto
2021-0040,1,2021,5,5,gral paz,"paz, gral. av.",13,-58.46743471,-34.53476874,moto,auto
2021-0041,1,2021,5,8,avenida,del libertador av.,14,-58.40986646,-34.57728060,peaton,autobus
2021-0042,1,2021,5,5,avenida,rivadavia av.,9,-58.51739138,-34.63931792,peaton,autobus
2021-0043,1,2021,5,18,avenida,"alberdi, juan bautista av.",9,-58.50719962,-34.65556223,peaton,auto
2021-0044,1,2021,5,2,avenida,"peron, eva av.",9,-58.46712311,-34.64600222,moto,objeto fijo
2021-0045,1,2021,5,17,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37709334,-34.64035082,moto,multiple
2021-0046,1,2021,5,2,avenida,elcano av.,15,-58.46033141,-34.58569883,auto,objeto fijo
2021-0047,1,2021,6,16,avenida,"vedia, agustin de",4,-58.42190745,-34.65633192,moto,auto
2021-0048,1,2021,6,9,avenida,capdevila,12,-58.49026573,-34.56981410,bicicleta,auto
2021-0049,1,2021,6,20,avenida,"fernandez de la cruz, f., gral. av.",8,-58.45410344,-34.66902702,auto,auto
2021-0050,1,2021,6,13,avenida,del libertador av.,13,-58.44751621,-34.55719892,moto,autobus
2021-0051,1,2021,6,19,avenida,27 de febrero av.,4,-58.42040352,-34.66005171,peaton,de_carga
2021-0052,1,2021,6,5,gral paz,"paz, gral. av.",8,-58.49530249,-34.68010798,moto,objeto fijo
2021-0053,1,2021,6,12,avenida,corrientes av.,15,-58.44399875,-34.59477360,peaton,bicicleta
2021-0054,1,2021,6,14,calle,tabare,4,-58.42759813,-34.65463857,moto,de_carga
2021-0055,1,2021,6,12,avenida,corrientes av.,3,-58.40547222,-34.60456293,moto,de_carga
2021-0056,1,2021,7,23,avenida,corrales,4,-58.42473018,-34.65008280,bicicleta,auto
2021-0057,1,2021,7,23,autopista,autopista arturo illia,2,-58.39257023,-34.57563957,auto,objeto fijo
2021-0058,1,2021,7,0,gral paz,"paz, gral. av.",12,-58.48941042,-34.54596153,peaton,auto
2021-0059,1,2021,7,1,avenida,"garay, juan de av.",3,-58.39640740,-34.62783085,auto,objeto fijo
2021-0060,1,2021,7,12,avenida,"salguero, jeronimo",5,-58.41971993,-34.61112240,peaton,autobus
2021-0061,1,2021,7,9,avenida,"moreno, perito av.",4,-58.40544588,-34.65012801,peaton,de_carga
2021-0062,1,2021,7,7,avenida,la plata av.,4,-58.42003882,-34.64645957,auto,de_carga
2021-0063,1,2021,8,4,avenida,"alberdi, juan bautista av.",7,-58.46851293,-34.63348678,auto,auto
2021-0064,1,2021,8,20,gral paz,"paz, gral. av.",9,-58.52931141,-34.65422917,peaton,de_carga
2021-0065,1,2021,8,8,avenida,san juan av.,6,-58.42675754,-34.62699730,peaton,autobus
2021-0066,1,2021,8,20,avenida,lope de vega av.,11,-58.52933723,-34.61098186,peaton,autobus
2021-0067,1,2021,8,9,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37910943,-34.62764718,moto,objeto fijo
2021-0068,1,2021,8,6,avenida,"beiro, francisco av.",11,-58.52161176,-34.61164474,moto,objeto fijo
2021-0069,1,2021,8,17,avenida,santa fe av.,14,-58.41354692,-34.58697680,peaton,auto
2021-0070,1,2021,8,8,avenida,"chilavert, martiniano, coronel",8,-58.43960781,-34.65470804,moto,de_carga
2021-0071,1,2021,8,16,calle,san luis,3,-58.40454610,-34.60003693,peaton,moto
2021-0072,1,2021,9,19,avenida,callao av.,2,-58.39303911,-34.59871111,peaton,auto
2021-0073,1,2021,9,12,avenida,del libertador av.,2,-58.39391034,-34.58405348,bicicleta,auto
2021-0074,1,2021,9,15,gral paz,"paz, gral. av.",12,-58.50073810,-34.54979510,moto,multiple
2021-0075,1,2021,9,14,calle,salta,1,-58.38281301,-34.62786038,peaton,de_carga
2021-0076,1,2021,10,6,avenida,"moreno, perito av.",7,-58.43980799,-34.65094083,moto,objeto fijo
2021-0077,1,2021,10,7,avenida,directorio av.,6,-58.44402387,-34.62933109,moto,de_carga
2021-0078,1,2021,10,6,avenida,independencia av.,6,-58.42779702,-34.62207347,moto,autobus
2021-0079,1,2021,10,3,calle,tucuman,3,-58.40944147,-34.60097942,peaton,auto
2021-0080,1,2021,10,16,avenida,arenales,1,-58.38277479,-34.59430160,moto,auto
2021-0081,1,2021,11,13,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37627355,-34.63800916,moto,de_carga
2021-0082,1,2021,11,4,autopista,autopista 25 de mayo,3,-58.39591856,-34.62453459,moto,auto
2021-0083,1,2021,11,0,avenida,cabildo av.,13,-58.45829717,-34.56015762,moto,auto
2021-0084,1,2021,11,3,avenida,tapalque,9,-58.49142611,-34.64584795,auto,objeto fijo
2021-0085,1,2021,11,18,gral paz,"paz, gral. av.",12,-58.51271409,-34.57786555,moto,objeto fijo
2021-0086,1,2021,11,10,avenida,rivadavia av.,6,-58.44864864,-34.62352826,peaton,autobus
2021-0087,1,2021,11,11,calle,esmeralda,1,-58.37795815,-34.59167894,peaton,bicicleta
2021-0088,1,2021,12,15,calle,monroe,13,-58.45531707,-34.55555257,moto,auto
2021-0089,1,2021,12,1,avenida,gaona av.,11,-58.47633683,-34.62140594,moto,auto
2021-0090,1,2021,12,11,avenida,9 de julio av.,1,-58.38188582,-34.60256036,peaton,autobus
2021-0091,1,2021,12,23,calle,baigorria,10,-58.51989389,-34.62284918,moto,auto
2021-0092,1,2021,12,6,avenida,rivadavia av.,3,-58.40596860,-34.61011987,peaton,auto
2021-0093,1,2021,12,17,avenida,riestra av.,7,-58.43353773,-34.64561636,moto,auto
2021-0094,1,2021,12,1,autopista,"dellepiane, luis, tte. gral.",9,-58.46739825,-34.65117757,moto,auto
2021-0095,1,2021,12,0,avenida,gaona av.,11,-58.47293407,-34.61984745,moto,de_carga
2021-0096,1,2021,12,10,avenida,"peron, eva av.",9,-58.47066794,-34.65021673,auto,de_carga
2021-0097,1,2021,11,6,calle,padre carlos mujica,1,-58.37976155,-34.58679619,bicicleta,auto
